,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,M2,M3,M1,M4,M5,M6,M7,M8,M9,M11,M10,M12
D1,0,0.602081406,0.742160037,0.247756707,0.684088807,0.72173913,0.703353377,0.608418131,0.607585569,0.637049029,0.6953284,0.496045328,0.843293247,0.734481961,0.917691952,0.833880666,0.830550416,0.930226642,0.906984274,0.940356152,0.880249769,0.91359852,0.84886679,0.93512951
D2,0.602081406,0,0.700901943,0.609505088,0.41260407,0.5796716,0.604856614,0.801110083,0.461563367,0.504093432,0.551456984,0.765009251,0.8339963,0.799213691,0.733418131,0.79660037,0.761031452,0.920282146,0.864153562,0.913066605,0.861933395,0.866188714,0.779764107,0.897826087
D3,0.742160037,0.700901943,0,0.766258094,0.673566142,0.648404255,0.703098982,0.82166975,0.755550416,0.653746531,0.721392229,0.79440333,0.838043478,0.83179926,0.870282146,0.848496762,0.860499537,0.897826087,0.854787234,0.8886679,0.849051804,0.875416281,0.864061055,0.884250694
D4,0.247756707,0.609505088,0.766258094,0,0.683903793,0.716489362,0.757308048,0.645999075,0.708556892,0.654925994,0.713945421,0.532354302,0.873358002,0.781961147,0.897479186,0.857308048,0.833741906,0.936517114,0.916026827,0.948011101,0.910291397,0.911864015,0.856059204,0.936933395
D5,0.684088807,0.41260407,0.673566142,0.683903793,0,0.48512951,0.570744681,0.803954672,0.589616096,0.336933395,0.491443108,0.781984274,0.89440333,0.864616096,0.748820537,0.851688252,0.779093432,0.934343201,0.883857539,0.906151711,0.866142461,0.863621647,0.760499537,0.888159112
D6,0.72173913,0.5796716,0.648404255,0.716489362,0.48512951,0,0.538066605,0.817830712,0.605249769,0.386493987,0.399051804,0.784921369,0.891419981,0.848519889,0.828769658,0.823242368,0.745004625,0.906521739,0.873913043,0.895189639,0.866697502,0.853353377,0.752636448,0.864014801
D7,0.703353377,0.604856614,0.703098982,0.757308048,0.570744681,0.538066605,0,0.82486124,0.495097132,0.422271045,0.350901943,0.805272895,0.874306198,0.85552729,0.853700278,0.861123959,0.871785384,0.882400555,0.861077706,0.909158187,0.860430157,0.847201665,0.82273358,0.862141536
D8,0.608418131,0.801110083,0.82166975,0.645999075,0.803954672,0.817830712,0.82486124,0,0.81352914,0.780041628,0.839962997,0.178006475,0.845351526,0.823982424,0.934481961,0.807678076,0.813482886,0.934805735,0.885175763,0.933487512,0.843987049,0.929833488,0.83873728,0.928700278
D9,0.607585569,0.461563367,0.755550416,0.708556892,0.589616096,0.605249769,0.495097132,0.81352914,0,0.500832562,0.555920444,0.808279371,0.748543016,0.748404255,0.783418131,0.782099907,0.806683626,0.909898242,0.830272895,0.894865865,0.795259019,0.853954672,0.81586494,0.86706753
D10,0.637049029,0.504093432,0.653746531,0.654925994,0.336933395,0.386493987,0.422271045,0.780041628,0.500832562,0,0.438644773,0.749537465,0.860684551,0.822502313,0.767738205,0.816905643,0.815494912,0.88506013,0.84426457,0.883649399,0.819495837,0.807955597,0.771692877,0.838205365
