pc vector number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
D1,0.363418161,0.285965939,-0.029268249,-0.126716203,0.146533442,-0.042455696,0.144015346,-0.048357907,0.033380108,-0.067183543,0.050945089,-0.020366276,0.00364812,-0.047033072,0.054651291,-0.018975563,-0.001484512,0.059741623,-0.035273283,0.006655256,0.003799482,0,0,0
D2,0.330624779,-0.125750821,0.112234421,-0.012231317,0.195489134,0.051525869,0.019363621,0.190997704,0.02641206,-0.000675473,-0.082456918,0.081659505,0.035518248,0.022570392,-0.116802204,-0.054156906,0.044722829,0.010450705,0.006671054,0.017508708,0.000987692,0,0,0
D3,0.224766045,-0.049372534,-0.078354131,-0.121644809,-0.262547832,0.430757376,0.059585729,0.025170852,0.056009364,-0.073860011,0.005371152,0.043923581,0.016029755,-0.008172158,0.030235966,0.001428254,0.005817364,0.009542962,0.012389826,-0.003971472,-0.00068792,0,0,0
D4,0.35458669,0.276561212,-0.068170498,-0.058722705,0.20766918,0.009530674,0.208450665,-0.070608035,8.50E-05,-0.033052415,0.066141936,-0.010930576,-0.036312866,0.076775458,-0.006629996,0.019718135,-0.005303352,-0.072414133,0.027711591,-0.012156167,2.33E-05,0,0,0
D5,0.349253137,-0.220693268,0.00879102,0.111887958,0.078790491,0.082146708,0.000594507,0.127956899,-0.136102207,0.082943975,-0.022388271,-0.006155707,-0.118860127,-0.072747982,0.042951447,-0.026270333,-0.055276162,-0.028034894,-0.032273165,-0.000778903,0.003340053,0,0,0
D6,0.322750853,-0.229536239,0.008740602,0.128329783,-0.129022165,0.018207002,0.067517822,-0.109078205,-0.058141427,0.104162314,0.014097403,-0.112592474,0.153752429,0.07357877,-0.037915041,0.008194797,0.007976514,-0.007252711,-0.035465148,-0.008603695,0.004448821,0,0,0
D7,0.327512157,-0.24569164,-0.058523758,-0.098863848,-0.134558524,-0.167375782,-0.114596047,-0.098569921,0.08145203,-0.080225021,-0.01026643,0.076969917,-0.095071069,-0.015199086,-0.006479399,0.016355561,0.067699907,-0.037755365,-0.037349302,-0.016645259,0.00069622,0,0,0
D8,0.228337978,0.462536492,-0.128431509,0.146666563,-0.102468208,-0.033489657,-0.206065705,0.040878964,-0.026102156,0.034291769,-0.061697117,0.011365874,0.021838998,-0.021878837,-0.000177504,-0.011098507,-0.002135524,-0.013083242,0.038540178,-0.030842155,0.007362859,0,0,0
D9,0.278135356,-0.135934571,0.155097381,-0.204622125,0.068873082,-0.130321306,-0.131926038,0.094802116,0.085154947,-0.075458567,-0.026671409,-0.078409258,0.132700258,-0.025472154,0.071604602,-0.01447046,-0.017109014,-0.004991863,0.015992145,-0.011023201,-0.001908331,0,0,0
D10,0.341339117,-0.218545908,-0.039872306,0.003658456,-0.007731141,-0.012072651,-0.055969551,-0.009507738,-0.081129086,0.050616573,0.092840315,-0.141483455,-0.08576034,-0.036300813,-0.013212888,0.018721975,0.042969617,0.024441855,0.047724173,0.013845431,-0.007214078,0,0,0
