Sample,PC1(32.9%),PC2(15.4%),PC3(8%),Group
E1,9.023653422,24.05882086,2.838005609,E
E2,12.3649492,41.62252612,11.28507555,E
E3,21.2723186,13.87927382,21.42596226,E
E4,23.9927749,6.871171691,26.30521878,E
E5,12.71740276,56.10635417,-28.61592502,E
E6,30.38829397,-1.285619598,41.6881591,E
E7,24.10617151,54.90203953,-42.19704338,E
E8,2.395055408,44.41340732,14.08500638,E
E9,33.07030226,-7.928240554,34.72555884,E
E10,30.61918793,-3.586298396,15.42280329,E
E11,27.21991355,-8.331205778,43.73187571,E
E12,25.8199109,67.53449457,-24.72017624,E
D1,-36.31364471,-8.639048464,-7.794978751,D
D2,6.43481437,-27.84137607,-32.31611381,D
D3,21.85448242,-21.95017401,12.84616429,D
D4,20.72844442,-34.01293863,-20.37155695,D
D5,32.63525304,-46.67624107,-17.72125242,D
D6,-65.39789039,-13.53420035,-13.08127172,D
D7,28.41676374,-46.34657053,-22.13303757,D
D8,28.36313203,-43.29570079,-25.67408635,D
D9,-138.3576708,-3.098253065,7.066115615,D
D10,-8.784989491,-22.86682013,0.960137759,D
D11,-140.9284907,6.246863449,8.67301606,D
D12,-1.640138381,-26.24226411,-6.427657035,D
