st_gene_id,gene_id,gene_symbol,fpkm_T1,fpkm_T2,fpkm_T3,fpkm_C1,fpkm_C2,fpkm_C3,fpkm_M1,fpkm_M2,fpkm_M3,read_count_T1,read_count_T2,read_count_T3,read_count_C1,read_count_C2,read_count_C3,read_count_M1,read_count_M2,read_count_M3
64795,64795,RMND5A,10.71,6.47,5.77,4.75,5.02,5.37,8.88,8.55,8.1,1224,739,648,531,565,588,999,974,915
6746,6746,SSR2,223.43,329.32,349.89,311.22,298.55,265.88,198.37,215.71,239.66,3466,5163,5394,4597,4553,3933,3028,3355,3618
5303,5303,PIN4,13.79,17.69,17.14,10.3,12.48,9.03,9.72,10.82,16.63,251,324,307,179,223,157,174,197,296
8924,8924,HERC2,6.27,4.83,5.37,9.08,9.21,11.07,8.14,6.87,7.02,1289,922,972,1989,1975,2475,1765,1415,1470
158431,158431,ZNF782,0.44,0.52,0.28,0.67,0.55,0.74,0.77,0.62,0.55,35,40,21,51,42,54,59,49,43
94103,94103,ORMDL3,60.65,59.74,67.93,46.81,48.68,43.73,59.31,67.12,70.99,2098,2059,2265,1577,1658,1449,2030,2331,2443
9616,9616,RNF7,29.07,36.1,34.19,23.5,23.55,19.75,24.9,28.34,30.52,1333,1660,1545,1048,1064,868,1124,1298,1379
9260,9260,PDLIM7,66.04,82.57,95.63,80.01,77.53,77.81,52.22,61.77,48.26,1668,2127,2411,1954,1960,1896,1305,1574,1195
7739,7739,ZNF185,0.2,0.2,0.43,0.3,0.47,0.25,0.12,0.23,0.09,15,16,28,19,33,19,8,15,7
284422,284422,SMIM24,0.05,0.05,0,0.05,0.1,0,0,0,0,1,1,0,1,2,0,0,0,0
3190,3190,HNRNPK,219.11,164.49,157.36,224.68,218.2,219.94,227.57,219.03,221.71,10736,8072,7584,10767,10580,10364,11024,10725,10759
57590,57590,WDFY1,27.99,24.59,19.13,51.98,48.35,53.17,27.02,26.15,26.67,2340,2057,1572,4245,3983,4262,2223,2181,2202
4123,4123,MAN2C1,5.3,5.49,6.66,7.16,7.07,8.11,6.19,6.43,6.96,302.94,311.67,354.55,400,399.92,444.95,350.86,366,393.95
5649,5649,RELN,0,0.01,0,0,0,0.01,0.02,0.01,0,0,2,1,0,1,2,5,2,0
8605,8605,PLA2G4C,13.8,13.07,12.33,10.23,9.93,9.56,21.66,25.39,21.71,588,560,515,424,416,390,910,1079,914
10891,10891,PPARGC1A,2.14,1.47,1.68,0.74,0.65,0.66,2.04,1.59,1.71,250,166,179,80,70,73,231,178,196
3060,3060,HCRT,0,0,0.19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
345,345,APOC3,0.23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7617,7617,ZNF66,1.45,0.96,0.42,4.32,3.35,6.86,2.79,1.02,1.38,119.33,79.32,34.16,348.12,272.26,542.41,225.94,84.26,112.51
7188,7188,TRAF5,7.18,4.7,4.54,8.88,7.85,10.04,7.98,7.3,6.85,510,334,317,609,540,669,556,519,478
9044,9044,BTAF1,7.65,4.63,4.09,6.21,5.51,7.12,7.08,5.43,5.83,1054,640,560,843,753,960,961,752,803
134218,134218,DNAJC21,8.75,7.84,6.66,8.42,8.79,8.68,9.95,9.76,10.39,915.03,853.44,718.42,894.99,919.91,888.6,1015.17,1031.04,1084.93
10239,10239,AP3S2,7.56,8.09,9.26,8.12,8,7.38,7.3,7.99,8.33,770.07,823.33,926.06,808.23,802.88,720.83,731.47,811.42,837.76
23317,23317,DNAJC13,16.75,12.23,11.54,19.5,19.85,20.04,21.8,18.32,18.52,1954,1376,1286,2272,2279,2339,2539,2091,2165
25819,25819,NOCT,3.42,2.67,2.55,5.15,4.46,4.78,4.87,4.05,4.31,110,86,81,160,141,147,154,130,136
8242,8242,KDM5C,9.8,5.42,6.6,11.1,10.73,10.97,11.46,10.29,9.51,1043,578,691,1158,1127,1116,1202,1096,1000
5824,5824,PEX19,18.15,14.31,13.23,21.33,19.84,21.15,19.16,17.9,21.27,1180,931,846,1352,1271,1318,1226,1161,1364
644890,644890,MEIG1,0.69,0.81,0.36,0.15,0.38,0.29,0.14,0.41,0,5,6,2,1,2,2,1,3,0
1965,1965,EIF2S1,36.98,33.75,27.47,36.7,37.7,35.55,39.08,37.39,38.4,2765,2526,2020,2679,2778,2549,2876,2790,2835
28,28,ABO,0.01,0,0,0.01,0.01,0.02,0.02,0.02,0.04,1,0,0,1,1,2,2,2,5
10090,10090,UST,34.69,25.1,26.91,29.2,28.83,30.32,28.88,26.29,26.18,2772,2005,2132,2291,2267,2340,2284,2111,2074
23268,23268,DNMBP,6.2,6.04,6.82,7.95,9.85,9.16,6.77,6.99,7.12,516,459,509,734,849,820,602,567,614
22985,22985,ACIN1,36.28,35.88,41.71,40.46,45.07,46.67,44.11,44.97,38.79,1806,1628,1830,2104,2289,2388,2279,2210,2024
728577,728577,CNTNAP3B,0.01,0.01,0.03,0.07,0.05,0.09,0.04,0.04,0.02,2,1.62,4.48,9.47,6.73,12.71,5.2,5.56,3.23
714,714,C1QC,0.42,0,0.12,0.32,0.31,0,0.43,0.24,0.25,7,0,2,5,5,0,7,4,4
201176,201176,ARHGAP27,1.17,1.38,0.92,0.92,1.19,1.35,1.08,1.13,1.01,78,86,57,61,73,78,72,75,67
115827,115827,RAB3C,0,0.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113189,113189,CHST14,9.1,11.65,11.85,16.26,17.64,16.1,8.01,9.24,8.44,330,424,424,572,630,559,286,335,301
56890,56890,MDM1,3.55,2.77,1.85,2.37,2.44,3.49,2.87,2.87,2.2,209,149,103,138,144,191,158,163,121
29080,29080,CCDC59,24.6,25.42,18.03,14.61,14.51,14.77,17.91,20.6,20.7,610,634,442,349,354,350,437,511,503
349633,349633,PLET1,0,0,0,0.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0
151188,151188,ARL6IP6,3.45,3.51,1.64,3.05,3.74,3.69,3.35,2.81,2.73,197,201,93,170,211,202,189,160,154
114789,114789,SLC25A25,12.4,7.29,8.44,6.71,7.42,7.1,11.25,11.84,10.32,732,433,481,386,428,400,645,688,593
1244,1244,ABCC2,0.04,0.1,0.1,0.16,0.09,0.19,0.07,0.04,0.03,4,11,11,17,9,20,8,5,3
79155,79155,TNIP2,21.31,26.68,29.59,17.76,19.09,18.29,24.74,25.9,25.66,669,841,924,542,590,550,767,812,787
8560,8560,DEGS1,170.34,162.65,137.95,145.74,143.07,149.15,175.16,161.69,162.51,5706,5472,4564,4726,4720,4783,5777,5412,5354
2978,2978,GUCA1A,0.13,0,0.04,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
54930,54930,HAUS4,7.78,8.31,8.89,8.63,9.09,7.84,7.72,9.29,10.61,191,206,214,206,221,185,187,229,256
4082,4082,MARCKS,47.4,55.43,51.07,46.33,49.93,46.78,29.29,33.27,26.04,3675,4302,3894,3508,3815,3478,2235,2574,1994
1960,1960,EGR3,1.31,0.69,0.82,0.49,0.57,0.58,0.42,0.65,0.38,95,48,57,37,41,41,30,47,27
11270,11270,NRM,6.26,7.97,8.09,7.08,9.33,8.03,3,4.68,2.35,111,144,141,132,170,152,56,84,44
1810,1810,DR1,8.91,7.58,6.55,7.97,8.3,8.36,8.94,8.71,7.95,1702,1446,1227,1491,1562,1531,1679,1658,1502
