Time,Con,,,OM,,,BA,,
1.24,10.45,13.46,11.33,13.5,15.57,14.63,13.24,12.28,15.37
9.85,11.21,14.47,12.79,13.47,18.34,15.64,14.58,16.27,12.11
19.26,11.64,13.18,14.38,15.44,18.38,17.56,12.37,17.16,14.47
28.36,19.32,21.46,21.33,44.62,43.55,47.6,25.74,24.79,30.65
36.63,19.42,22.43,23.84,44.64,48.12,49.48,26.33,28.92,30.46
45.63,21.35,23.66,24.13,45.63,48.56,49.26,27.52,30.56,34.37
54.27,40.52,35.38,37.42,79.46,82.26,78.65,48.88,47.79,54.56
62.73,37.48,36.94,41.15,76.52,78.44,82.83,53.22,49.68,54.48
71.02,36.75,38.48,41.39,78.37,82.6,79.22,53.19,48.35,54.27
80.64,14.37,12.27,13.29,24.36,21.47,23.79,17.26,18.18,15.88
89.27,13.35,10.58,12.37,19.14,22.32,24.47,18.28,16.33,14.63
98.27,9.75,11.58,12.09,19.29,18.26,22.27,18.19,14.75,11.63
